protein_id,length,domain_count,domain_architecture
tr|G0RXI7|G0RXI7_HYPJQ,1119,2,AA5_1 + AA5
sp|Q7Z9M8|XG74_HYPJQ,838,2,GH74 + GH74
tr|G0RX73|G0RX73_HYPJQ,792,2,AA2 + AA2
tr|G0R866|G0R866_HYPJQ,632,2,GH15 + CBM20
tr|G0REY1|G0REY1_HYPJQ,622,2,GH71 + CBM24
tr|G0RN28|G0RN28_HYPJQ,604,2,GH71 + CBM24
tr|G0RQW0|G0RQW0_HYPJQ,540,2,GH72 + CBM43
tr|G0RXH1|G0RXH1_HYPJQ,525,2,GH72 + CBM43
tr|G0RA39|G0RA39_HYPJQ,510,2,GH54 + CBM42
tr|G0REV1|G0REV1_HYPJQ,504,2,CBM13 + CBM13
tr|G0RRB2|G0RRB2_HYPJQ,500,2,GH54 + CBM42
tr|G0RFC1|G0RFC1_HYPJQ,473,2,CBM50 + CBM50
tr|G0RB58|G0RB58_HYPJQ,471,2,CBM1 + GH6
tr|G0RT37|G0RT37_HYPJQ,1531,1,GH18
tr|G0RCD8|G0RCD8_HYPJQ,1508,1,GH74
tr|G0RKH0|G0RKH0_HYPJQ,1487,1,GT24
tr|G0R6S5|G0R6S5_HYPJQ,1377,1,GH18
tr|G0RSR6|G0RSR6_HYPJQ,1079,1,GH65
tr|G0RMZ5|G0RMZ5_HYPJQ,1070,1,GH47
tr|G0RQN9|G0RQN9_HYPJQ,1023,1,GH35
tr|G0RKB9|G0RKB9_HYPJQ,978,1,GT90
tr|G0RGK8|G0RGK8_HYPJQ,964,1,GH31_1
tr|G0RV96|G0RV96_HYPJQ,938,1,GH2_13
tr|G0R900|G0R900_HYPJQ,927,1,AA2
tr|G0RG36|G0RG36_HYPJQ,927,1,GH2_13
tr|G0RN27|G0RN27_HYPJQ,927,1,GH3
tr|G0RH14|G0RH14_HYPJQ,892,1,GH2_16
tr|G0RWC5|G0RWC5_HYPJQ,891,1,GH31_1
tr|G0RJ07|G0RJ07_HYPJQ,874,1,GH3
tr|G0RHL2|G0RHL2_HYPJQ,863,1,GH81
tr|G0RV49|G0RV49_HYPJQ,847,1,GH67
tr|G0RIK4|G0RIK4_HYPJQ,819,1,GH92
tr|G0RHR0|G0RHR0_HYPJQ,815,1,GH63
tr|G0R911|G0R911_HYPJQ,807,1,GH92
tr|G0RVA4|G0RVA4_HYPJQ,804,1,GH92
tr|G0RHI2|G0RHI2_HYPJQ,800,1,GH55_2
tr|G0RG23|G0RG23_HYPJQ,797,1,GH3
tr|G0RF26|G0RF26_HYPJQ,794,1,GH95
tr|G0RQ18|G0RQ18_HYPJQ,794,1,GH92
tr|G0RA48|G0RA48_HYPJQ,793,1,GH92
tr|G0RTX6|G0RTX6_HYPJQ,782,1,PL8_4
tr|G0RDY1|G0RDY1_HYPJQ,781,1,GH3
tr|G0RBQ3|G0RBQ3_HYPJQ,778,1,GH92
tr|G0RVI8|G0RVI8_HYPJQ,777,1,GH92
tr|G0RJ25|G0RJ25_HYPJQ,776,1,GH55_2
tr|G0RF07|G0RF07_HYPJQ,765,1,GH3
tr|G0R927|G0R927_HYPJQ,764,1,GH55_2
tr|G0RBF9|G0RBF9_HYPJQ,764,1,GH55_2
tr|G0RX78|G0RX78_HYPJQ,763,1,GH55
tr|G0RVM4|G0RVM4_HYPJQ,762,1,GH89
tr|G0RMR0|G0RMR0_HYPJQ,759,1,GH55
tr|G0RCY3|G0RCY3_HYPJQ,747,1,GH89
tr|G0RVT1|G0RVT1_HYPJQ,746,1,GH36
tr|G0RG24|G0RG24_HYPJQ,744,1,GH3
tr|G0RTV1|G0RTV1_HYPJQ,716,1,GH95
tr|G0RF80|G0RF80_HYPJQ,697,1,GH78
tr|G0RRG0|G0RRG0_HYPJQ,686,1,GH37
tr|G0RFP4|G0RFP4_HYPJQ,684,1,GH20
tr|G0R8D1|G0R8D1_HYPJQ,631,1,AA1_2
tr|G0RVN2|G0RVN2_HYPJQ,624,1,GH27
tr|G0RAG7|G0RAG7_HYPJQ,623,1,AA1
tr|G0RW85|G0RW85_HYPJQ,623,1,AA1
tr|G0RG35|G0RG35_HYPJQ,621,1,GH27
tr|G0RG98|G0RG98_HYPJQ,616,1,GH2_18
tr|G0R9J5|G0R9J5_HYPJQ,610,1,AA1
tr|G0RVI0|G0RVI0_HYPJQ,603,1,GH20
tr|G0RRQ7|G0RRQ7_HYPJQ,600,1,AA1_2
tr|G0RQW4|G0RQW4_HYPJQ,594,1,AA3_2
tr|G0RFI9|G0RFI9_HYPJQ,587,1,AA7
tr|G0RDP2|G0RDP2_HYPJQ,582,1,GH20
tr|G0R9J4|G0R9J4_HYPJQ,580,1,AA7
sp|G0R6T3|SORD_HYPJQ,574,1,AA7
tr|G0RII9|G0RII9_HYPJQ,571,1,AA7
tr|G0RWA0|G0RWA0_HYPJQ,553,1,AA2
tr|G0RAB5|G0RAB5_HYPJQ,545,1,GH125
tr|G0RBB5|G0RBB5_HYPJQ,523,1,GH47
tr|G0RVK1|G0RVK1_HYPJQ,514,1,GH7
tr|G0RPG4|G0RPG4_HYPJQ,510,1,AA7
tr|G0RPG1|G0RPG1_HYPJQ,502,1,AA7
tr|G0RWL7|G0RWL7_HYPJQ,501,1,GH125
tr|G0RA73|G0RA73_HYPJQ,496,1,GH27
tr|G0RQ44|G0RQ44_HYPJQ,496,1,GH27
tr|G0RCS3|G0RCS3_HYPJQ,492,1,GH18
tr|G0RE86|G0RE86_HYPJQ,490,1,GH30_3
tr|G0R916|G0R916_HYPJQ,488,1,GH79
tr|G0R7Q4|G0R7Q4_HYPJQ,486,1,GT22
tr|G0RVA9|G0RVA9_HYPJQ,485,1,AA7
tr|G0RK71|G0RK71_HYPJQ,481,1,GH5_31
tr|G0RT76|G0RT76_HYPJQ,479,1,GH30_5
tr|G0RJJ2|G0RJJ2_HYPJQ,478,1,GH72
tr|G0RM16|G0RM16_HYPJQ,477,1,AA8
tr|G0RA70|G0RA70_HYPJQ,476,1,GH27
tr|G0RVQ8|G0RVQ8_HYPJQ,476,1,GH30_3
tr|G0RVK4|G0RVK4_HYPJQ,473,1,GH30_7
tr|G0RFR8|G0RFR8_HYPJQ,463,1,GH13_1
tr|G0RN13|G0RN13_HYPJQ,463,1,GH76
tr|G0RGT2|G0RGT2_HYPJQ,462,1,GH79
tr|G0RUT8|G0RUT8_HYPJQ,461,1,GH76
sp|G0RV93|GCE_HYPJQ,460,1,CE15
tr|G0RME4|G0RME4_HYPJQ,460,1,GH76
tr|G0RKH9|G0RKH9_HYPJQ,459,1,GH7
tr|G0RV92|G0RV92_HYPJQ,459,1,GH30_7
tr|G0RNW6|G0RNW6_HYPJQ,457,1,GH28
tr|G0RTB0|G0RTB0_HYPJQ,456,1,GH72
tr|G0RTS0|G0RTS0_HYPJQ,449,1,GH64
tr|G0RC44|G0RC44_HYPJQ,444,1,GH27
tr|G0RXL3|G0RXL3_HYPJQ,440,1,GH39
tr|G0RXC7|G0RXC7_HYPJQ,438,1,GH5_5
tr|G0RDC0|G0RDC0_HYPJQ,436,1,GH132
tr|G0RFB0|G0RFB0_HYPJQ,433,1,GH16_19
sp|G0RPY6|AA12_HYPJQ,430,1,AA12
tr|G0RGE0|G0RGE0_HYPJQ,429,1,GH71
tr|G0RNW1|G0RNW1_HYPJQ,429,1,GH5_15
tr|G0RSA2|G0RSA2_HYPJQ,424,1,GH18
tr|G0REN0|G0REN0_HYPJQ,422,1,PL38
tr|G0RB67|G0RB67_HYPJQ,418,1,GH5_5
tr|G0RVY2|G0RVY2_HYPJQ,415,1,GT15
tr|G0RVZ9|G0RVZ9_HYPJQ,411,1,GH18
tr|G0RB43|G0RB43_HYPJQ,409,1,GH76
tr|G0RWB2|G0RWB2_HYPJQ,405,1,GH28
tr|G0R9G0|G0R9G0_HYPJQ,401,1,GH18
tr|G0RTT0|G0RTT0_HYPJQ,401,1,GH18
tr|G0RWB1|G0RWB1_HYPJQ,401,1,GH28
tr|G0RWT4|G0RWT4_HYPJQ,396,1,GH16_23
tr|G0RKU0|G0RKU0_HYPJQ,393,1,GH18
tr|G0RRS0|G0RRS0_HYPJQ,392,1,GH18
tr|G0RGT7|G0RGT7_HYPJQ,382,1,AA11
tr|G0R949|G0R949_HYPJQ,379,1,GH28
tr|G0RBA1|G0RBA1_HYPJQ,376,1,GH18
tr|G0RL27|G0RL27_HYPJQ,374,1,GH72
tr|G0RRF8|G0RRF8_HYPJQ,370,1,GT17
tr|G0RC85|G0RC85_HYPJQ,369,1,GH5_7
tr|G0RFE9|G0RFE9_HYPJQ,369,1,GH16_18
tr|G0RDA9|G0RDA9_HYPJQ,364,1,AA11
tr|G0RHJ4|G0RHJ4_HYPJQ,348,1,CE16
sp|G0RA32|XYN3_HYPJQ,347,1,GH10
sp|G0R6T8|LP9A_HYPJQ,344,1,AA9
tr|G0RHB8|G0RHB8_HYPJQ,343,1,GH18
tr|G0R9X3|G0R9X3_HYPJQ,342,1,CE16
tr|G0R6W9|G0R6W9_HYPJQ,338,1,AA2
tr|G0RLU2|G0RLU2_HYPJQ,335,1,GH16_1
tr|G0RRQ0|G0RRQ0_HYPJQ,332,1,GH16_18
tr|G0R7M8|G0R7M8_HYPJQ,324,1,GH18
tr|G0REY3|G0REY3_HYPJQ,322,1,GH62
tr|G0RT85|G0RT85_HYPJQ,322,1,GH43_34
tr|G0RU01|G0RU01_HYPJQ,319,1,GH128
tr|G0R6T7|G0R6T7_HYPJQ,316,1,CBM1
tr|G0RRQ4|G0RRQ4_HYPJQ,306,1,CE1
tr|G0RKI9|G0RKI9_HYPJQ,305,1,CE1
tr|G0R6T6|G0R6T6_HYPJQ,302,1,CE5
tr|G0R8N5|G0R8N5_HYPJQ,299,1,CE5
tr|G0RSY5|G0RSY5_HYPJQ,297,1,CE4
tr|G0RGI2|G0RGI2_HYPJQ,292,1,GH128
tr|G0RN50|G0RN50_HYPJQ,287,1,GH16_3
tr|G0RU13|G0RU13_HYPJQ,287,1,GH16_3
sp|G0REY8|LP14A_HYPJQ,286,1,AA14
tr|G0RQ16|G0RQ16_HYPJQ,275,1,GH16_18
tr|G0RQX0|G0RQX0_HYPJQ,272,1,GH128
tr|G0RP87|G0RP87_HYPJQ,268,1,GH24
tr|G0R863|G0R863_HYPJQ,258,1,PL20
tr|G0RV94|G0RV94_HYPJQ,258,1,PL20
tr|G0RRM2|G0RRM2_HYPJQ,254,1,GH75
tr|G0RRM1|G0RRM1_HYPJQ,252,1,PL7_4
sp|Q7Z9M7|LP9B_HYPJQ,249,1,AA9
sp|G0RH85|CUTI1_HYPJQ,248,1,CE5
tr|G0R931|G0R931_HYPJQ,248,1,PL7_4
tr|G0RP66|G0RP66_HYPJQ,242,1,GH45_2
tr|G0RWI2|G0RWI2_HYPJQ,235,1,GH75
tr|G0RRG8|G0RRG8_HYPJQ,234,1,GH12
sp|G0R947|XYN1_HYPJQ,229,1,GH11
tr|G0RT43|G0RT43_HYPJQ,229,1,GH75
tr|G0RAJ4|G0RAJ4_HYPJQ,228,1,GH25
sp|G0RUP7|XYN2_HYPJQ,223,1,GH11
tr|G0R9X1|G0R9X1_HYPJQ,217,1,AA11
